         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	    reaction	          Cl	          Na	           S	           K	          Ca	          Mg	     Calcite	   d_Calcite	      Halite	    d_Halite	      Gypsum	    d_Gypsum	
           6	       react	           3	         -99	           0	           1	     11.3682	     6.85337	 -1.3174e-01	  6.0511e+00	  6.1189e+00	  1.2168e-01	  8.4519e-04	  9.6821e-02	  0.0000e+00	  3.7323e-09	  3.7323e-09	  1.4479e-02	  1.4479e-02	  2.5502e-04	  2.5502e-04	
           6	       react	           3	         -99	           0	           2	     11.3695	     6.85195	 -1.3174e-01	  6.0510e+00	  6.1190e+00	  1.2172e-01	  8.4765e-04	  9.6792e-02	  0.0000e+00	  7.4644e-09	  3.7321e-09	  2.8958e-02	  1.4479e-02	  5.1003e-04	  2.5501e-04	
           6	       react	           3	         -99	           0	           3	      11.371	     6.85032	 -1.5150e-01	  6.0509e+00	  6.1192e+00	  1.2177e-01	  8.5049e-04	  9.6757e-02	  0.0000e+00	  1.1756e-08	  4.2918e-09	  4.5608e-02	  1.6651e-02	  8.0328e-04	  2.9325e-04	
           6	       react	           3	         -99	           0	           4	     11.3725	     6.84868	 -1.5150e-01	  6.0508e+00	  6.1193e+00	  1.2182e-01	  8.5335e-04	  9.6723e-02	  0.0000e+00	  1.6048e-08	  4.2917e-09	  6.2259e-02	  1.6651e-02	  1.0965e-03	  2.9324e-04	
           6	       react	           3	         -99	           0	           5	      11.374	     6.84703	 -1.5150e-01	  6.0507e+00	  6.1194e+00	  1.2187e-01	  8.5623e-04	  9.6688e-02	  0.0000e+00	  2.0339e-08	  4.2915e-09	  7.8910e-02	  1.6651e-02	  1.3897e-03	  2.9323e-04	
           6	       react	           3	         -99	           0	           6	     11.3755	     6.84538	 -1.5150e-01	  6.0507e+00	  6.1196e+00	  1.2192e-01	  8.5914e-04	  9.6653e-02	  0.0000e+00	  2.4631e-08	  4.2913e-09	  9.5560e-02	  1.6651e-02	  1.6830e-03	  2.9321e-04	
           6	       react	           3	         -99	           0	           7	      11.377	     6.84373	 -1.5150e-01	  6.0506e+00	  6.1197e+00	  1.2197e-01	  8.6206e-04	  9.6618e-02	  0.0000e+00	  2.8922e-08	  4.2912e-09	  1.1221e-01	  1.6651e-02	  1.9762e-03	  2.9320e-04	
           6	       react	           3	         -99	           0	           8	     11.3785	     6.84206	 -1.5150e-01	  6.0505e+00	  6.1199e+00	  1.2202e-01	  8.6500e-04	  9.6582e-02	  0.0000e+00	  3.3213e-08	  4.2910e-09	  1.2886e-01	  1.6651e-02	  2.2693e-03	  2.9319e-04	
           6	       react	           3	         -99	           0	           9	       11.38	     6.84039	 -1.5150e-01	  6.0504e+00	  6.1200e+00	  1.2207e-01	  8.6796e-04	  9.6547e-02	  0.0000e+00	  3.7504e-08	  4.2908e-09	  1.4551e-01	  1.6651e-02	  2.5625e-03	  2.9317e-04	
           6	       react	           3	         -99	           0	          10	     11.3815	     6.83872	 -1.5150e-01	  6.0503e+00	  6.1202e+00	  1.2212e-01	  8.7094e-04	  9.6511e-02	  0.0000e+00	  4.1794e-08	  4.2907e-09	  1.6216e-01	  1.6651e-02	  2.8557e-03	  2.9316e-04	
           6	       react	           3	         -99	           0	          11	      11.383	     6.83704	 -1.5150e-01	  6.0502e+00	  6.1203e+00	  1.2218e-01	  8.7395e-04	  9.6475e-02	  0.0000e+00	  4.6085e-08	  4.2905e-09	  1.7881e-01	  1.6651e-02	  3.1488e-03	  2.9315e-04	
           6	       react	           3	         -99	           0	          12	     11.3846	     6.83535	 -1.5150e-01	  6.0501e+00	  6.1205e+00	  1.2223e-01	  8.7697e-04	  9.6438e-02	  0.0000e+00	  5.0375e-08	  4.2904e-09	  1.9546e-01	  1.6651e-02	  3.4420e-03	  2.9313e-04	
           6	       react	           3	         -99	           0	          13	     11.3861	     6.83366	 -1.5150e-01	  6.0500e+00	  6.1206e+00	  1.2228e-01	  8.8001e-04	  9.6402e-02	  0.0000e+00	  5.4665e-08	  4.2902e-09	  2.1212e-01	  1.6651e-02	  3.7351e-03	  2.9312e-04	
           6	       react	           3	         -99	           0	          14	     11.3877	     6.83196	 -1.5150e-01	  6.0499e+00	  6.1208e+00	  1.2234e-01	  8.8308e-04	  9.6365e-02	  0.0000e+00	  5.8955e-08	  4.2900e-09	  2.2877e-01	  1.6651e-02	  4.0282e-03	  2.9310e-04	
           6	       react	           3	         -99	           0	          15	     11.3892	     6.83026	 -1.5150e-01	  6.0498e+00	  6.1209e+00	  1.2239e-01	  8.8617e-04	  9.6328e-02	  0.0000e+00	  6.3245e-08	  4.2899e-09	  2.4542e-01	  1.6651e-02	  4.3213e-03	  2.9309e-04	
