         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	    reaction	          Cl	          Na	           S	           K	          Ca	          Mg	     Calcite	   d_Calcite	      Halite	    d_Halite	      Gypsum	    d_Gypsum	
           9	       react	           4	         -99	           0	           1	     11.3694	      6.8521	 -2.1738e-01	  6.0510e+00	  6.1190e+00	  1.2172e-01	  8.4740e-04	  9.6795e-02	  0.0000e+00	  6.1583e-09	  6.1583e-09	  2.3891e-02	  2.3891e-02	  4.2079e-04	  4.2079e-04	
           9	       react	           4	         -99	           0	           2	     11.3715	     6.84975	 -2.1738e-01	  6.0509e+00	  6.1192e+00	  1.2179e-01	  8.5148e-04	  9.6745e-02	  0.0000e+00	  1.2316e-08	  6.1580e-09	  4.7782e-02	  2.3891e-02	  8.4156e-04	  4.2077e-04	
           9	       react	           4	         -99	           0	           3	     11.3736	     6.84739	 -2.1738e-01	  6.0508e+00	  6.1194e+00	  1.2186e-01	  8.5560e-04	  9.6696e-02	  0.0000e+00	  1.8474e-08	  6.1577e-09	  7.1673e-02	  2.3891e-02	  1.2623e-03	  4.2074e-04	
           9	       react	           4	         -99	           0	           4	     11.3758	     6.84502	 -2.1738e-01	  6.0506e+00	  6.1196e+00	  1.2193e-01	  8.5977e-04	  9.6645e-02	  0.0000e+00	  2.4631e-08	  6.1573e-09	  9.5564e-02	  2.3891e-02	  1.6830e-03	  4.2071e-04	
           9	       react	           4	         -99	           0	           5	      11.378	     6.84264	 -2.1738e-01	  6.0505e+00	  6.1198e+00	  1.2200e-01	  8.6397e-04	  9.6595e-02	  0.0000e+00	  3.0788e-08	  6.1570e-09	  1.1945e-01	  2.3891e-02	  2.1037e-03	  4.2068e-04	
           9	       react	           4	         -99	           0	           6	     11.3801	     6.84025	 -2.1738e-01	  6.0504e+00	  6.1200e+00	  1.2208e-01	  8.6822e-04	  9.6544e-02	  0.0000e+00	  3.6945e-08	  6.1567e-09	  1.4335e-01	  2.3891e-02	  2.5243e-03	  4.2066e-04	
           9	       react	           4	         -99	           0	           7	     11.3832	     6.83682	 -3.0959e-01	  6.0502e+00	  6.1203e+00	  1.2218e-01	  8.7434e-04	  9.6470e-02	  0.0000e+00	  4.5713e-08	  8.7679e-09	  1.7737e-01	  3.4026e-02	  3.1234e-03	  5.9906e-04	
           9	       react	           4	         -99	           0	           8	     11.3864	     6.83337	 -3.0959e-01	  6.0500e+00	  6.1207e+00	  1.2229e-01	  8.8054e-04	  9.6395e-02	  0.0000e+00	  5.4480e-08	  8.7672e-09	  2.1140e-01	  3.4026e-02	  3.7224e-03	  5.9900e-04	
           9	       react	           4	         -99	           0	           9	     11.3895	     6.82989	 -3.0959e-01	  6.0498e+00	  6.1210e+00	  1.2240e-01	  8.8684e-04	  9.6320e-02	  0.0000e+00	  6.3247e-08	  8.7665e-09	  2.4542e-01	  3.4026e-02	  4.3213e-03	  5.9894e-04	
           9	       react	           4	         -99	           0	          10	     11.3927	     6.82638	 -3.0959e-01	  6.0496e+00	  6.1213e+00	  1.2251e-01	  8.9322e-04	  9.6243e-02	  0.0000e+00	  7.2012e-08	  8.7658e-09	  2.7945e-01	  3.4026e-02	  4.9202e-03	  5.9888e-04	
           9	       react	           4	         -99	           0	          11	     11.3959	     6.82285	 -3.0959e-01	  6.0494e+00	  6.1216e+00	  1.2262e-01	  8.9970e-04	  9.6166e-02	  0.0000e+00	  8.0778e-08	  8.7651e-09	  3.1348e-01	  3.4026e-02	  5.5190e-03	  5.9882e-04	
           9	       react	           4	         -99	           0	          12	     11.3992	      6.8193	 -3.0959e-01	  6.0492e+00	  6.1219e+00	  1.2274e-01	  9.0627e-04	  9.6087e-02	  0.0000e+00	  8.9542e-08	  8.7644e-09	  3.4750e-01	  3.4026e-02	  6.1178e-03	  5.9876e-04	
           9	       react	           4	         -99	           0	          13	     11.4024	     6.81572	 -3.0959e-01	  6.0490e+00	  6.1223e+00	  1.2286e-01	  9.1294e-04	  9.6007e-02	  0.0000e+00	  9.8306e-08	  8.7637e-09	  3.8153e-01	  3.4026e-02	  6.7165e-03	  5.9869e-04	
           9	       react	           4	         -99	           0	          14	     11.4057	     6.81211	 -3.0959e-01	  6.0488e+00	  6.1226e+00	  1.2297e-01	  9.1971e-04	  9.5926e-02	  0.0000e+00	  1.0707e-07	  8.7630e-09	  4.1555e-01	  3.4026e-02	  7.3151e-03	  5.9862e-04	
           9	       react	           4	         -99	           0	          15	      11.409	     6.80847	 -3.0959e-01	  6.0486e+00	  6.1229e+00	  1.2309e-01	  9.2658e-04	  9.5844e-02	  0.0000e+00	  1.1583e-07	  8.7623e-09	  4.4958e-01	  3.4026e-02	  7.9137e-03	  5.9856e-04	
           9	       react	           4	         -99	           0	          16	     11.4123	      6.8048	 -3.0959e-01	  6.0484e+00	  6.1233e+00	  1.2322e-01	  9.3356e-04	  9.5761e-02	  0.0000e+00	  1.2459e-07	  8.7616e-09	  4.8361e-01	  3.4026e-02	  8.5122e-03	  5.9849e-04	
           9	       react	           4	         -99	           0	          17	     11.4157	     6.80111	 -3.0959e-01	  6.0482e+00	  6.1236e+00	  1.2334e-01	  9.4063e-04	  9.5677e-02	  0.0000e+00	  1.3335e-07	  8.7609e-09	  5.1763e-01	  3.4026e-02	  9.1106e-03	  5.9842e-04	
           9	       react	           4	         -99	           0	          18	      11.419	     6.79739	 -3.0959e-01	  6.0479e+00	  6.1240e+00	  1.2347e-01	  9.4782e-04	  9.5591e-02	  0.0000e+00	  1.4211e-07	  8.7602e-09	  5.5166e-01	  3.4026e-02	  9.7089e-03	  5.9835e-04	
           9	       react	           4	         -99	           0	          19	     11.4224	     6.79364	 -3.0959e-01	  6.0477e+00	  6.1244e+00	  1.2359e-01	  9.5512e-04	  9.5505e-02	  0.0000e+00	  1.5087e-07	  8.7595e-09	  5.8569e-01	  3.4026e-02	  1.0307e-02	  5.9827e-04	
           9	       react	           4	         -99	           0	          20	     11.4259	     6.78986	 -3.0959e-01	  6.0475e+00	  6.1247e+00	  1.2372e-01	  9.6253e-04	  9.5417e-02	  0.0000e+00	  1.5963e-07	  8.7588e-09	  6.1971e-01	  3.4026e-02	  1.0905e-02	  5.9820e-04	
           9	       react	           4	         -99	           0	          21	     11.4293	     6.78605	 -3.0959e-01	  6.0473e+00	  6.1251e+00	  1.2386e-01	  9.7006e-04	  9.5328e-02	  0.0000e+00	  1.6839e-07	  8.7581e-09	  6.5374e-01	  3.4026e-02	  1.1504e-02	  5.9812e-04	
           9	       react	           4	         -99	           0	          22	     11.4328	      6.7822	 -3.0959e-01	  6.0470e+00	  6.1255e+00	  1.2399e-01	  9.7770e-04	  9.5237e-02	  0.0000e+00	  1.7715e-07	  8.7574e-09	  6.8776e-01	  3.4026e-02	  1.2102e-02	  5.9804e-04	
           9	       react	           4	         -99	           0	          23	     11.4363	     6.77833	 -3.0959e-01	  6.0468e+00	  6.1259e+00	  1.2413e-01	  9.8547e-04	  9.5145e-02	  0.0000e+00	  1.8590e-07	  8.7566e-09	  7.2179e-01	  3.4026e-02	  1.2700e-02	  5.9796e-04	
           9	       react	           4	         -99	           0	          24	     11.4399	     6.77443	 -3.0959e-01	  6.0465e+00	  6.1262e+00	  1.2427e-01	  9.9336e-04	  9.5052e-02	  0.0000e+00	  1.9466e-07	  8.7559e-09	  7.5582e-01	  3.4026e-02	  1.3297e-02	  5.9788e-04	
           9	       react	           4	         -99	           0	          25	     11.4435	     6.77049	 -3.0959e-01	  6.0463e+00	  6.1266e+00	  1.2441e-01	  1.0014e-03	  9.4958e-02	  0.0000e+00	  2.0342e-07	  8.7552e-09	  7.8984e-01	  3.4026e-02	  1.3895e-02	  5.9779e-04	
