         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	    reaction	          Cl	          Na	           S	           K	          Ca	          Mg	     Calcite	   d_Calcite	      Halite	    d_Halite	      Gypsum	    d_Gypsum	
          12	       react	           5	         -99	           0	           1	     11.3695	     6.85196	 -3.0959e-01	  6.0510e+00	  6.1190e+00	  1.2172e-01	  8.4764e-04	  9.6792e-02	  0.0000e+00	  8.7709e-09	  8.7709e-09	  3.4026e-02	  3.4026e-02	  5.9930e-04	  5.9930e-04	
          12	       react	           5	         -99	           0	           2	     11.3725	     6.84861	 -3.0959e-01	  6.0508e+00	  6.1193e+00	  1.2182e-01	  8.5347e-04	  9.6721e-02	  0.0000e+00	  1.7541e-08	  8.7702e-09	  6.8052e-02	  3.4026e-02	  1.1986e-03	  5.9925e-04	
          12	       react	           5	         -99	           0	           3	     11.3756	     6.84524	 -3.0959e-01	  6.0506e+00	  6.1196e+00	  1.2192e-01	  8.5939e-04	  9.6650e-02	  0.0000e+00	  2.6311e-08	  8.7695e-09	  1.0208e-01	  3.4026e-02	  1.7978e-03	  5.9920e-04	
          12	       react	           5	         -99	           0	           4	     11.3787	     6.84185	 -3.0959e-01	  6.0505e+00	  6.1199e+00	  1.2203e-01	  8.6538e-04	  9.6578e-02	  0.0000e+00	  3.5080e-08	  8.7689e-09	  1.3610e-01	  3.4026e-02	  2.3969e-03	  5.9914e-04	
          12	       react	           5	         -99	           0	           5	     11.3822	     6.83798	 -3.5000e-01	  6.0503e+00	  6.1202e+00	  1.2215e-01	  8.7226e-04	  9.6495e-02	  0.0000e+00	  4.4992e-08	  9.9125e-09	  1.7457e-01	  3.8467e-02	  3.0742e-03	  6.7727e-04	
          12	       react	           5	         -99	           0	           6	     11.3857	     6.83408	 -3.5000e-01	  6.0500e+00	  6.1206e+00	  1.2227e-01	  8.7925e-04	  9.6411e-02	  0.0000e+00	  5.4904e-08	  9.9116e-09	  2.1304e-01	  3.8467e-02	  3.7514e-03	  6.7720e-04	
          12	       react	           5	         -99	           0	           7	     11.3893	     6.83016	 -3.5000e-01	  6.0498e+00	  6.1209e+00	  1.2239e-01	  8.8635e-04	  9.6326e-02	  0.0000e+00	  6.4814e-08	  9.9107e-09	  2.5150e-01	  3.8467e-02	  4.4285e-03	  6.7712e-04	
          12	       react	           5	         -99	           0	           8	     11.3929	     6.82619	 -3.5000e-01	  6.0496e+00	  6.1213e+00	  1.2252e-01	  8.9357e-04	  9.6239e-02	  0.0000e+00	  7.4724e-08	  9.9099e-09	  2.8997e-01	  3.8467e-02	  5.1055e-03	  6.7704e-04	
          12	       react	           5	         -99	           0	           9	     11.3965	      6.8222	 -3.5000e-01	  6.0494e+00	  6.1217e+00	  1.2265e-01	  9.0091e-04	  9.6151e-02	  0.0000e+00	  8.4633e-08	  9.9090e-09	  3.2844e-01	  3.8467e-02	  5.7825e-03	  6.7696e-04	
          12	       react	           5	         -99	           0	          10	     11.4002	     6.81817	 -3.5000e-01	  6.0492e+00	  6.1220e+00	  1.2278e-01	  9.0836e-04	  9.6062e-02	  0.0000e+00	  9.4541e-08	  9.9081e-09	  3.6691e-01	  3.8467e-02	  6.4594e-03	  6.7688e-04	
