         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	    reaction	          Cl	          Na	           S	           K	          Ca	          Mg	     Calcite	   d_Calcite	      Halite	    d_Halite	      Gypsum	    d_Gypsum	
          10	       react	           1	         -99	           0	           1	     11.2755	     6.95725	 -2.1738e-01	  5.0380e+00	  5.0940e+00	  1.1455e-01	  6.9758e-04	  9.4034e-02	  0.0000e+00	  1.7798e-02	  4.4490e-03	  0.0000e+00	 -2.1574e-02	  8.2773e-02	  1.0343e-02	
          10	       react	           1	         -99	           0	           2	     11.2774	     6.95515	 -2.1738e-01	  5.0580e+00	  5.1142e+00	  1.1470e-01	  7.0035e-04	  9.4105e-02	  0.0000e+00	  1.7798e-02	  1.8465e-08	  0.0000e+00	  0.0000e+00	  8.3072e-02	  2.9893e-04	
          10	       react	           1	         -99	           0	           3	     11.2793	     6.95304	 -2.1738e-01	  5.0781e+00	  5.1345e+00	  1.1485e-01	  7.0313e-04	  9.4176e-02	  0.0000e+00	  1.7798e-02	  1.8410e-08	  0.0000e+00	  0.0000e+00	  8.3371e-02	  2.9957e-04	
          10	       react	           1	         -99	           0	           4	     11.2811	     6.95092	 -2.1738e-01	  5.0984e+00	  5.1550e+00	  1.1501e-01	  7.0594e-04	  9.4246e-02	  0.0000e+00	  1.7798e-02	  1.8354e-08	  0.0000e+00	  0.0000e+00	  8.3671e-02	  3.0022e-04	
          10	       react	           1	         -99	           0	           5	      11.283	     6.94879	 -2.1738e-01	  5.1188e+00	  5.1757e+00	  1.1516e-01	  7.0877e-04	  9.4317e-02	  0.0000e+00	  1.7798e-02	  1.8297e-08	  0.0000e+00	  0.0000e+00	  8.3972e-02	  3.0086e-04	
          10	       react	           1	         -99	           0	           6	     11.2849	     6.94665	 -2.1738e-01	  5.1394e+00	  5.1965e+00	  1.1531e-01	  7.1162e-04	  9.4388e-02	  0.0000e+00	  1.7798e-02	  1.8241e-08	  0.0000e+00	  0.0000e+00	  8.4274e-02	  3.0151e-04	
          10	       react	           1	         -99	           0	           7	     11.2877	     6.94359	 -3.0959e-01	  5.1690e+00	  5.2264e+00	  1.1554e-01	  7.1572e-04	  9.4488e-02	  0.0000e+00	  1.7798e-02	  2.5880e-08	  0.0000e+00	  0.0000e+00	  8.4704e-02	  4.3054e-04	
          10	       react	           1	         -99	           0	           8	     11.2904	      6.9405	 -3.0959e-01	  5.1990e+00	  5.2567e+00	  1.1576e-01	  7.1987e-04	  9.4588e-02	  0.0000e+00	  1.7798e-02	  2.5764e-08	  0.0000e+00	  0.0000e+00	  8.5136e-02	  4.3188e-04	
          10	       react	           1	         -99	           0	           9	     11.2932	     6.93738	 -3.0959e-01	  5.2293e+00	  5.2874e+00	  1.1598e-01	  7.2406e-04	  9.4688e-02	  0.0000e+00	  1.7798e-02	  2.5646e-08	  0.0000e+00	  0.0000e+00	  8.5569e-02	  4.3322e-04	
          10	       react	           1	         -99	           0	          10	      11.296	     6.93425	 -3.0959e-01	  5.2600e+00	  5.3184e+00	  1.1621e-01	  7.2831e-04	  9.4788e-02	  0.0000e+00	  1.7798e-02	  2.5527e-08	  0.0000e+00	  0.0000e+00	  8.6004e-02	  4.3457e-04	
          10	       react	           1	         -99	           0	          11	     11.2988	     6.93109	 -3.0959e-01	  5.2910e+00	  5.3498e+00	  1.1643e-01	  7.3261e-04	  9.4887e-02	  0.0000e+00	  1.7798e-02	  2.5408e-08	  0.0000e+00	  0.0000e+00	  8.6440e-02	  4.3594e-04	
          10	       react	           1	         -99	           0	          12	     11.3016	     6.92791	 -3.0959e-01	  5.3224e+00	  5.3815e+00	  1.1666e-01	  7.3695e-04	  9.4986e-02	  0.0000e+00	  1.7798e-02	  2.5287e-08	  0.0000e+00	  0.0000e+00	  8.6877e-02	  4.3731e-04	
          10	       react	           1	         -99	           0	          13	     11.3045	      6.9247	 -3.0959e-01	  5.3542e+00	  5.4136e+00	  1.1689e-01	  7.4135e-04	  9.5085e-02	  0.0000e+00	  1.7798e-02	  2.5165e-08	  0.0000e+00	  0.0000e+00	  8.7316e-02	  4.3869e-04	
          10	       react	           1	         -99	           0	          14	     11.3074	     6.92147	 -3.0959e-01	  5.3863e+00	  5.4462e+00	  1.1712e-01	  7.4581e-04	  9.5183e-02	  0.0000e+00	  1.7798e-02	  2.5042e-08	  0.0000e+00	  0.0000e+00	  8.7756e-02	  4.4008e-04	
          10	       react	           1	         -99	           0	          15	     11.3103	     6.91822	 -3.0959e-01	  5.4189e+00	  5.4791e+00	  1.1735e-01	  7.5031e-04	  9.5282e-02	  0.0000e+00	  1.7799e-02	  2.4918e-08	  0.0000e+00	  0.0000e+00	  8.8197e-02	  4.4149e-04	
          10	       react	           1	         -99	           0	          16	     11.3132	     6.91494	 -3.0959e-01	  5.4518e+00	  5.5124e+00	  1.1758e-01	  7.5487e-04	  9.5379e-02	  0.0000e+00	  1.7799e-02	  2.4793e-08	  0.0000e+00	  0.0000e+00	  8.8640e-02	  4.4290e-04	
          10	       react	           1	         -99	           0	          17	     11.3162	     6.91163	 -3.0959e-01	  5.4851e+00	  5.5461e+00	  1.1781e-01	  7.5949e-04	  9.5477e-02	  0.0000e+00	  1.7799e-02	  2.4667e-08	  0.0000e+00	  0.0000e+00	  8.9085e-02	  4.4433e-04	
          10	       react	           1	         -99	           0	          18	     11.3191	      6.9083	 -3.0959e-01	  5.5189e+00	  5.5802e+00	  1.1805e-01	  7.6417e-04	  9.5574e-02	  0.0000e+00	  1.7799e-02	  2.4539e-08	  0.0000e+00	  0.0000e+00	  8.9530e-02	  4.4576e-04	
          10	       react	           1	         -99	           0	          19	     11.3221	     6.90494	 -3.0959e-01	  5.5531e+00	  5.6148e+00	  1.1828e-01	  7.6890e-04	  9.5671e-02	  0.0000e+00	  1.7799e-02	  2.4411e-08	  0.0000e+00	  0.0000e+00	  8.9978e-02	  4.4720e-04	
          10	       react	           1	         -99	           0	          20	     11.3251	     6.90156	 -3.0959e-01	  5.5877e+00	  5.6498e+00	  1.1852e-01	  7.7369e-04	  9.5767e-02	  0.0000e+00	  1.7799e-02	  2.4281e-08	  0.0000e+00	  0.0000e+00	  9.0426e-02	  4.4866e-04	
          10	       react	           1	         -99	           0	          21	     11.3282	     6.89815	 -3.0959e-01	  5.6227e+00	  5.6852e+00	  1.1876e-01	  7.7854e-04	  9.5863e-02	  0.0000e+00	  1.7799e-02	  2.4150e-08	  0.0000e+00	  0.0000e+00	  9.0876e-02	  4.5013e-04	
          10	       react	           1	         -99	           0	          22	     11.3312	     6.89471	 -3.0959e-01	  5.6582e+00	  5.7211e+00	  1.1900e-01	  7.8345e-04	  9.5959e-02	  0.0000e+00	  1.7799e-02	  2.4018e-08	  0.0000e+00	  0.0000e+00	  9.1328e-02	  4.5160e-04	
          10	       react	           1	         -99	           0	          23	     11.3343	     6.89124	 -3.0959e-01	  5.6941e+00	  5.7574e+00	  1.1924e-01	  7.8843e-04	  9.6054e-02	  0.0000e+00	  1.7799e-02	  2.3885e-08	  0.0000e+00	  0.0000e+00	  9.1781e-02	  4.5309e-04	
          10	       react	           1	         -99	           0	          24	     11.3375	     6.88775	 -3.0959e-01	  5.7305e+00	  5.7942e+00	  1.1948e-01	  7.9346e-04	  9.6148e-02	  0.0000e+00	  1.7799e-02	  2.3751e-08	  0.0000e+00	  0.0000e+00	  9.2236e-02	  4.5459e-04	
          10	       react	           1	         -99	           0	          25	     11.3406	     6.88422	 -3.0959e-01	  5.7674e+00	  5.8314e+00	  1.1973e-01	  7.9857e-04	  9.6242e-02	  0.0000e+00	  1.7799e-02	  2.3616e-08	  0.0000e+00	  0.0000e+00	  9.2692e-02	  4.5610e-04	
          10	       react	           1	         -99	           0	          26	     11.3438	     6.88067	 -3.0959e-01	  5.8047e+00	  5.8692e+00	  1.1997e-01	  8.0374e-04	  9.6335e-02	  0.0000e+00	  1.7799e-02	  2.3479e-08	  0.0000e+00	  0.0000e+00	  9.3149e-02	  4.5762e-04	
          10	       react	           1	         -99	           0	          27	      11.347	     6.87709	 -3.0959e-01	  5.8425e+00	  5.9074e+00	  1.2022e-01	  8.0897e-04	  9.6428e-02	  0.0000e+00	  1.7799e-02	  2.3341e-08	  0.0000e+00	  0.0000e+00	  9.3609e-02	  4.5915e-04	
          10	       react	           1	         -99	           0	          28	     11.3502	     6.87348	 -3.0959e-01	  5.8808e+00	  5.9462e+00	  1.2047e-01	  8.1428e-04	  9.6521e-02	  0.0000e+00	  1.7799e-02	  2.3202e-08	  0.0000e+00	  0.0000e+00	  9.4069e-02	  4.6070e-04	
          10	       react	           1	         -99	           0	          29	     11.3535	     6.86983	 -3.0959e-01	  5.9197e+00	  5.9854e+00	  1.2072e-01	  8.1965e-04	  9.6612e-02	  0.0000e+00	  1.7799e-02	  2.3061e-08	  0.0000e+00	  0.0000e+00	  9.4532e-02	  4.6225e-04	
          10	       react	           1	         -99	           0	          30	     11.3567	     6.86616	 -3.0959e-01	  5.9590e+00	  6.0252e+00	  1.2097e-01	  8.2510e-04	  9.6703e-02	  0.0000e+00	  1.7799e-02	  2.2920e-08	  0.0000e+00	  0.0000e+00	  9.4995e-02	  4.6382e-04	
          10	       react	           1	         -99	           0	          31	       11.36	     6.86245	 -3.0959e-01	  5.9989e+00	  6.0655e+00	  1.2122e-01	  8.3062e-04	  9.6794e-02	  0.0000e+00	  1.7799e-02	  2.2777e-08	  0.0000e+00	  0.0000e+00	  9.5461e-02	  4.6539e-04	
          10	       react	           1	         -99	           0	          32	     11.3634	     6.85872	 -3.0959e-01	  6.0393e+00	  6.1064e+00	  1.2148e-01	  8.3622e-04	  9.6883e-02	  0.0000e+00	  1.7799e-02	  2.2633e-08	  0.0000e+00	  0.0000e+00	  9.5928e-02	  4.6698e-04	
          10	       react	           1	         -99	           0	          33	     11.3665	     6.85528	 -3.0959e-01	  6.0512e+00	  6.1187e+00	  1.2162e-01	  8.4189e-04	  9.6861e-02	  0.0000e+00	  1.7799e-02	  1.2839e-08	  2.3973e-02	  2.3973e-02	  9.6488e-02	  5.6055e-04	
          10	       react	           1	         -99	           0	          34	     11.3695	     6.85196	 -3.0959e-01	  6.0510e+00	  6.1190e+00	  1.2172e-01	  8.4764e-04	  9.6792e-02	  0.0000e+00	  1.7799e-02	  8.7709e-09	  5.7999e-02	  3.4026e-02	  9.7088e-02	  5.9930e-04	
          10	       react	           1	         -99	           0	          35	     11.3725	     6.84861	 -3.0959e-01	  6.0508e+00	  6.1193e+00	  1.2182e-01	  8.5347e-04	  9.6721e-02	  0.0000e+00	  1.7799e-02	  8.7702e-09	  9.2025e-02	  3.4026e-02	  9.7687e-02	  5.9925e-04	
          10	       react	           1	         -99	           0	          36	     11.3756	     6.84524	 -3.0959e-01	  6.0506e+00	  6.1196e+00	  1.2192e-01	  8.5939e-04	  9.6650e-02	  0.0000e+00	  1.7799e-02	  8.7695e-09	  1.2605e-01	  3.4026e-02	  9.8286e-02	  5.9920e-04	
          10	       react	           1	         -99	           0	          37	     11.3787	     6.84185	 -3.0959e-01	  6.0505e+00	  6.1199e+00	  1.2203e-01	  8.6538e-04	  9.6578e-02	  0.0000e+00	  1.7799e-02	  8.7689e-09	  1.6008e-01	  3.4026e-02	  9.8885e-02	  5.9914e-04	
          10	       react	           1	         -99	           0	          38	     11.3822	     6.83798	 -3.5000e-01	  6.0503e+00	  6.1202e+00	  1.2215e-01	  8.7226e-04	  9.6495e-02	  0.0000e+00	  1.7799e-02	  9.9125e-09	  1.9854e-01	  3.8467e-02	  9.9562e-02	  6.7727e-04	
          10	       react	           1	         -99	           0	          39	     11.3857	     6.83408	 -3.5000e-01	  6.0500e+00	  6.1206e+00	  1.2227e-01	  8.7925e-04	  9.6411e-02	  0.0000e+00	  1.7799e-02	  9.9116e-09	  2.3701e-01	  3.8467e-02	  1.0024e-01	  6.7720e-04	
          10	       react	           1	         -99	           0	          40	     11.3893	     6.83016	 -3.5000e-01	  6.0498e+00	  6.1209e+00	  1.2239e-01	  8.8635e-04	  9.6326e-02	  0.0000e+00	  1.7799e-02	  9.9107e-09	  2.7548e-01	  3.8467e-02	  1.0092e-01	  6.7712e-04	
          10	       react	           1	         -99	           0	          41	     11.3929	     6.82619	 -3.5000e-01	  6.0496e+00	  6.1213e+00	  1.2252e-01	  8.9357e-04	  9.6239e-02	  0.0000e+00	  1.7799e-02	  9.9099e-09	  3.1394e-01	  3.8467e-02	  1.0159e-01	  6.7704e-04	
          10	       react	           1	         -99	           0	          42	     11.3965	      6.8222	 -3.5000e-01	  6.0494e+00	  6.1217e+00	  1.2265e-01	  9.0091e-04	  9.6151e-02	  0.0000e+00	  1.7799e-02	  9.9090e-09	  3.5241e-01	  3.8467e-02	  1.0227e-01	  6.7696e-04	
          10	       react	           1	         -99	           0	          43	     11.4002	     6.81817	 -3.5000e-01	  6.0492e+00	  6.1220e+00	  1.2278e-01	  9.0836e-04	  9.6062e-02	  0.0000e+00	  1.7799e-02	  9.9081e-09	  3.9088e-01	  3.8467e-02	  1.0295e-01	  6.7688e-04	
          10	       react	           1	         -99	           0	          44	     11.4039	     6.81411	 -3.5000e-01	  6.0489e+00	  6.1224e+00	  1.2291e-01	  9.1595e-04	  9.5971e-02	  0.0000e+00	  1.7799e-02	  9.9072e-09	  4.2935e-01	  3.8467e-02	  1.0362e-01	  6.7680e-04	
          10	       react	           1	         -99	           0	          45	     11.4076	     6.81001	 -3.5000e-01	  6.0487e+00	  6.1228e+00	  1.2304e-01	  9.2366e-04	  9.5879e-02	  0.0000e+00	  1.7799e-02	  9.9063e-09	  4.6781e-01	  3.8467e-02	  1.0430e-01	  6.7671e-04	
          10	       react	           1	         -99	           0	          46	     11.4113	     6.80588	 -3.5000e-01	  6.0484e+00	  6.1232e+00	  1.2318e-01	  9.3150e-04	  9.5786e-02	  0.0000e+00	  1.7799e-02	  9.9054e-09	  5.0628e-01	  3.8467e-02	  1.0498e-01	  6.7663e-04	
          10	       react	           1	         -99	           0	          47	     11.4151	     6.80171	 -3.5000e-01	  6.0482e+00	  6.1236e+00	  1.2332e-01	  9.3947e-04	  9.5691e-02	  0.0000e+00	  1.7799e-02	  9.9045e-09	  5.4475e-01	  3.8467e-02	  1.0565e-01	  6.7654e-04	
          10	       react	           1	         -99	           0	          48	     11.4189	     6.79751	 -3.5000e-01	  6.0479e+00	  6.1240e+00	  1.2346e-01	  9.4759e-04	  9.5594e-02	  0.0000e+00	  1.7799e-02	  9.9036e-09	  5.8321e-01	  3.8467e-02	  1.0633e-01	  6.7644e-04	
          10	       react	           1	         -99	           0	          49	     11.4228	     6.79327	 -3.5000e-01	  6.0477e+00	  6.1244e+00	  1.2361e-01	  9.5584e-04	  9.5496e-02	  0.0000e+00	  1.7799e-02	  9.9027e-09	  6.2168e-01	  3.8467e-02	  1.0701e-01	  6.7635e-04	
          10	       react	           1	         -99	           0	          50	     11.4267	     6.78899	 -3.5000e-01	  6.0474e+00	  6.1248e+00	  1.2375e-01	  9.6424e-04	  9.5397e-02	  0.0000e+00	  1.7799e-02	  9.9018e-09	  6.6015e-01	  3.8467e-02	  1.0768e-01	  6.7625e-04	
