         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	    reaction	          Cl	          Na	           S	           K	          Ca	          Mg	     Calcite	   d_Calcite	      Halite	    d_Halite	      Gypsum	    d_Gypsum	
          15	       react	           6	         -99	           0	           1	     11.3697	     6.85179	 -3.5000e-01	  6.0510e+00	  6.1190e+00	  1.2172e-01	  8.4793e-04	  9.6788e-02	  0.0000e+00	  9.9156e-09	  9.9156e-09	  3.8467e-02	  3.8467e-02	  6.7752e-04	  6.7752e-04	
          15	       react	           6	         -99	           0	           2	     11.3731	       6.848	 -3.5000e-01	  6.0508e+00	  6.1194e+00	  1.2184e-01	  8.5454e-04	  9.6709e-02	  0.0000e+00	  1.9830e-08	  9.9148e-09	  7.6933e-02	  3.8467e-02	  1.3550e-03	  6.7745e-04	
          15	       react	           6	         -99	           0	           3	     11.3766	     6.84419	 -3.5000e-01	  6.0506e+00	  6.1197e+00	  1.2196e-01	  8.6124e-04	  9.6628e-02	  0.0000e+00	  2.9744e-08	  9.9139e-09	  1.1540e-01	  3.8467e-02	  2.0324e-03	  6.7738e-04	
          15	       react	           6	         -99	           0	           4	     11.3801	     6.84034	 -3.5000e-01	  6.0504e+00	  6.1200e+00	  1.2207e-01	  8.6806e-04	  9.6546e-02	  0.0000e+00	  3.9657e-08	  9.9130e-09	  1.5387e-01	  3.8467e-02	  2.7097e-03	  6.7731e-04	
          15	       react	           6	         -99	           0	           5	     11.3836	     6.83646	 -3.5000e-01	  6.0502e+00	  6.1204e+00	  1.2219e-01	  8.7498e-04	  9.6462e-02	  0.0000e+00	  4.9569e-08	  9.9121e-09	  1.9233e-01	  3.8467e-02	  3.3869e-03	  6.7724e-04	
          15	       react	           6	         -99	           0	           6	     11.3871	     6.83255	 -3.5000e-01	  6.0500e+00	  6.1207e+00	  1.2232e-01	  8.8201e-04	  9.6378e-02	  0.0000e+00	  5.9481e-08	  9.9113e-09	  2.3080e-01	  3.8467e-02	  4.0641e-03	  6.7717e-04	
          15	       react	           6	         -99	           0	           7	     11.3907	     6.82861	 -3.5000e-01	  6.0497e+00	  6.1211e+00	  1.2244e-01	  8.8916e-04	  9.6292e-02	  0.0000e+00	  6.9391e-08	  9.9104e-09	  2.6927e-01	  3.8467e-02	  4.7412e-03	  6.7709e-04	
          15	       react	           6	         -99	           0	           8	     11.3943	     6.82464	 -3.5000e-01	  6.0495e+00	  6.1214e+00	  1.2257e-01	  8.9642e-04	  9.6205e-02	  0.0000e+00	  7.9301e-08	  9.9095e-09	  3.0773e-01	  3.8467e-02	  5.4182e-03	  6.7701e-04	
          15	       react	           6	         -99	           0	           9	     11.3979	     6.82063	 -3.5000e-01	  6.0493e+00	  6.1218e+00	  1.2270e-01	  9.0380e-04	  9.6116e-02	  0.0000e+00	  8.9209e-08	  9.9086e-09	  3.4620e-01	  3.8467e-02	  6.0951e-03	  6.7693e-04	
          15	       react	           6	         -99	           0	          10	     11.4016	     6.81659	 -3.5000e-01	  6.0491e+00	  6.1222e+00	  1.2283e-01	  9.1131e-04	  9.6027e-02	  0.0000e+00	  9.9117e-08	  9.9077e-09	  3.8467e-01	  3.8467e-02	  6.7720e-03	  6.7685e-04	
