         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	    reaction	          Cl	          Na	           S	           K	          Ca	          Mg	     Calcite	   d_Calcite	      Halite	    d_Halite	      Gypsum	    d_Gypsum	
          11	       react	           1	         -99	           0	           1	     11.2755	     6.95725	 -2.1738e-01	  5.0380e+00	  5.0940e+00	  1.1455e-01	  6.9758e-04	  9.4034e-02	  0.0000e+00	  1.7798e-02	  4.4490e-03	  0.0000e+00	 -2.1574e-02	  8.2773e-02	  1.0343e-02	
          11	       react	           1	         -99	           0	           2	     11.2774	     6.95515	 -2.1738e-01	  5.0580e+00	  5.1142e+00	  1.1470e-01	  7.0035e-04	  9.4105e-02	  0.0000e+00	  1.7798e-02	  1.8465e-08	  0.0000e+00	  0.0000e+00	  8.3072e-02	  2.9893e-04	
          11	       react	           1	         -99	           0	           3	     11.2793	     6.95304	 -2.1738e-01	  5.0781e+00	  5.1345e+00	  1.1485e-01	  7.0313e-04	  9.4176e-02	  0.0000e+00	  1.7798e-02	  1.8410e-08	  0.0000e+00	  0.0000e+00	  8.3371e-02	  2.9957e-04	
          11	       react	           1	         -99	           0	           4	     11.2811	     6.95092	 -2.1738e-01	  5.0984e+00	  5.1550e+00	  1.1501e-01	  7.0594e-04	  9.4246e-02	  0.0000e+00	  1.7798e-02	  1.8354e-08	  0.0000e+00	  0.0000e+00	  8.3671e-02	  3.0022e-04	
          11	       react	           1	         -99	           0	           5	      11.283	     6.94879	 -2.1738e-01	  5.1188e+00	  5.1757e+00	  1.1516e-01	  7.0877e-04	  9.4317e-02	  0.0000e+00	  1.7798e-02	  1.8297e-08	  0.0000e+00	  0.0000e+00	  8.3972e-02	  3.0086e-04	
          11	       react	           1	         -99	           0	           6	     11.2849	     6.94665	 -2.1738e-01	  5.1394e+00	  5.1965e+00	  1.1531e-01	  7.1162e-04	  9.4388e-02	  0.0000e+00	  1.7798e-02	  1.8241e-08	  0.0000e+00	  0.0000e+00	  8.4274e-02	  3.0151e-04	
          11	       react	           1	         -99	           0	           7	     11.2877	     6.94359	 -3.0959e-01	  5.1690e+00	  5.2264e+00	  1.1554e-01	  7.1572e-04	  9.4488e-02	  0.0000e+00	  1.7798e-02	  2.5880e-08	  0.0000e+00	  0.0000e+00	  8.4704e-02	  4.3054e-04	
          11	       react	           1	         -99	           0	           8	     11.2904	      6.9405	 -3.0959e-01	  5.1990e+00	  5.2567e+00	  1.1576e-01	  7.1987e-04	  9.4588e-02	  0.0000e+00	  1.7798e-02	  2.5764e-08	  0.0000e+00	  0.0000e+00	  8.5136e-02	  4.3188e-04	
          11	       react	           1	         -99	           0	           9	     11.2932	     6.93738	 -3.0959e-01	  5.2293e+00	  5.2874e+00	  1.1598e-01	  7.2406e-04	  9.4688e-02	  0.0000e+00	  1.7798e-02	  2.5646e-08	  0.0000e+00	  0.0000e+00	  8.5569e-02	  4.3322e-04	
          11	       react	           1	         -99	           0	          10	      11.296	     6.93425	 -3.0959e-01	  5.2600e+00	  5.3184e+00	  1.1621e-01	  7.2831e-04	  9.4788e-02	  0.0000e+00	  1.7798e-02	  2.5527e-08	  0.0000e+00	  0.0000e+00	  8.6004e-02	  4.3457e-04	
          11	       react	           1	         -99	           0	          11	     11.2988	     6.93109	 -3.0959e-01	  5.2910e+00	  5.3498e+00	  1.1643e-01	  7.3261e-04	  9.4887e-02	  0.0000e+00	  1.7798e-02	  2.5408e-08	  0.0000e+00	  0.0000e+00	  8.6440e-02	  4.3594e-04	
          11	       react	           1	         -99	           0	          12	     11.3016	     6.92791	 -3.0959e-01	  5.3224e+00	  5.3815e+00	  1.1666e-01	  7.3695e-04	  9.4986e-02	  0.0000e+00	  1.7798e-02	  2.5287e-08	  0.0000e+00	  0.0000e+00	  8.6877e-02	  4.3731e-04	
          11	       react	           1	         -99	           0	          13	     11.3045	      6.9247	 -3.0959e-01	  5.3542e+00	  5.4136e+00	  1.1689e-01	  7.4135e-04	  9.5085e-02	  0.0000e+00	  1.7798e-02	  2.5165e-08	  0.0000e+00	  0.0000e+00	  8.7316e-02	  4.3869e-04	
          11	       react	           1	         -99	           0	          14	     11.3074	     6.92147	 -3.0959e-01	  5.3863e+00	  5.4462e+00	  1.1712e-01	  7.4581e-04	  9.5183e-02	  0.0000e+00	  1.7798e-02	  2.5042e-08	  0.0000e+00	  0.0000e+00	  8.7756e-02	  4.4008e-04	
          11	       react	           1	         -99	           0	          15	     11.3103	     6.91822	 -3.0959e-01	  5.4189e+00	  5.4791e+00	  1.1735e-01	  7.5031e-04	  9.5282e-02	  0.0000e+00	  1.7799e-02	  2.4918e-08	  0.0000e+00	  0.0000e+00	  8.8197e-02	  4.4149e-04	
          11	       react	           1	         -99	           0	          16	     11.3132	     6.91494	 -3.0959e-01	  5.4518e+00	  5.5124e+00	  1.1758e-01	  7.5487e-04	  9.5379e-02	  0.0000e+00	  1.7799e-02	  2.4793e-08	  0.0000e+00	  0.0000e+00	  8.8640e-02	  4.4290e-04	
          11	       react	           1	         -99	           0	          17	     11.3162	     6.91163	 -3.0959e-01	  5.4851e+00	  5.5461e+00	  1.1781e-01	  7.5949e-04	  9.5477e-02	  0.0000e+00	  1.7799e-02	  2.4667e-08	  0.0000e+00	  0.0000e+00	  8.9085e-02	  4.4433e-04	
          11	       react	           1	         -99	           0	          18	     11.3191	      6.9083	 -3.0959e-01	  5.5189e+00	  5.5802e+00	  1.1805e-01	  7.6417e-04	  9.5574e-02	  0.0000e+00	  1.7799e-02	  2.4539e-08	  0.0000e+00	  0.0000e+00	  8.9530e-02	  4.4576e-04	
          11	       react	           1	         -99	           0	          19	     11.3221	     6.90494	 -3.0959e-01	  5.5531e+00	  5.6148e+00	  1.1828e-01	  7.6890e-04	  9.5671e-02	  0.0000e+00	  1.7799e-02	  2.4411e-08	  0.0000e+00	  0.0000e+00	  8.9978e-02	  4.4720e-04	
          11	       react	           1	         -99	           0	          20	     11.3251	     6.90156	 -3.0959e-01	  5.5877e+00	  5.6498e+00	  1.1852e-01	  7.7369e-04	  9.5767e-02	  0.0000e+00	  1.7799e-02	  2.4281e-08	  0.0000e+00	  0.0000e+00	  9.0426e-02	  4.4866e-04	
